MD,Inclination,Azimuth,TVD
0,0,0,0
100,0.38,145.32,100
300,0.16,276.24,299.9986894
400,0.45,258.16,399.9972725
500,0.72,253.25,499.9920602
600,0.98,249.27,599.9810561
700,1.01,247.43,699.9659775
800,0.84,253.66,799.9529459
900,0.71,252.43,899.943798
1000,0.69,241.56,999.936335
1100,0.68,240.13,1099.929188
1200,0.74,241.47,1199.921511
1300,0.68,251.83,1299.913833
1400,0.5,263.31,1399.908531
1500,0.16,125.04,1499.906872
1600,0.11,310.21,1599.906595
1700,0.25,198.54,1699.906101
1800,0.38,208.2,1799.90459
1900,0.37,203.79,1899.902448
2000,0.4,178.99,1999.900191
2100,0.24,170.86,2099.898631
2200,0.12,129.36,2199.898137
2300,0.16,87.05,2299.897839
2400,0.46,100.2,2399.896375
2500,0.38,99.07,2499.893689
2600,0.51,100.26,2599.890672
2700,0.67,108.53,2699.885371
2800,0.8,118.04,2799.877143
2900,0.8,119.81,2899.867395
3000,0.71,128.09,2999.858713
3100,0.77,142.25,3099.850373
3200,0.74,144.96,3199.841691
3300,0.75,157.99,3299.833238
3400,0.9,157.1,3399.822871
3500,0.94,157.25,3499.80998
3600,0.94,157.93,3599.796522
3700,0.8,152.77,3699.784994
3800,0.82,144.78,3799.775002
3900,0.82,144.84,3899.764761
4000,0.97,146.46,3999.752561
4100,0.74,145.75,4099.741427
4155,0.68,132.41,4154.737204
4200,0.68,132.41,4199.734035
4265,0.68,132.41,4264.729457
4300,0.68,132.41,4299.726992
4400,0.68,132.41,4399.719949
4500,0.68,132.41,4499.712907
4600,0.68,132.41,4599.705864
4700,0.68,132.41,4699.698821
4767.31,0.68,132.41,4767.004081
4800,0.68,132.41,4799.691779
4900,0.68,132.41,4899.684736
4990,0.68,132.41,4989.678397
5008.43,0.68,71.5,5008.1071
5100,4.1,71.5,5099.597445
5200,7.84,71.5,5199.055094
5280.04,10.83,71.5,5278.035109
5300,11.57,71.5,5297.614974
5400,15.31,71.5,5394.876359
5500,19.04,71.5,5490.417089
5600,22.78,71.5,5583.831309
5700,26.51,71.5,5674.722197
5800,30.25,71.5,5762.703651
5886.45,33.48,71.5,5836.125147
5900,33.98,71.5,5847.394187
6000,37.72,71.5,5928.449491
6100,41.45,71.5,6005.5175
6141.38,43,71.5,6036.159863
6200,43,71.5,6079.031817
6300,43,71.5,6152.167187
6400,43,71.5,6225.302558
6483.21,43,71.5,6286.158499
6500,43.64,71.5,6298.373783
6543.13,45.28,71.5,6329.157372
6600,47.44,71.5,6368.404778
6638.62,48.9,71.5,6394.161333
6677.22,50.37,71.5,6419.1608
6700,51.23,71.5,6433.558427
6800,55.03,71.5,6493.55857
6831.2,56.22,71.5,6511.174306
6900,58.83,71.5,6548.115198
7000,62.63,71.5,6597.007775
7042.89,64.26,71.5,6616.182036
7100,66.43,71.5,6640.005667
7200,70.22,71.5,6676.939798
7300,74.02,71.5,6707.642241
7400,77.82,71.5,6731.969886
7410.77,78.23,71.5,6734.204498
7436.32,79.2,71.5,6739.204362
7500,81.62,71.5,6749.813237
7568,84.2,71.5,6758.20636
7588.67,84.71,71.52,6760.203651
7600,84.99,71.52,6761.220671
7686.86,87.12,71.59,6767.196539
7700,87.44,71.6,6767.820099
7800,89.89,71.67,6770.149903
7839.35,90.86,71.7,6769.89236
7900,90.86,71.7,6768.982048
8000,90.86,71.7,6767.481121
8100,90.86,71.7,6765.980194
8200,90.86,71.7,6764.479267
8300,90.86,71.7,6762.97834
8400,90.86,71.7,6761.477414
8500,90.86,71.7,6759.976487
8600,90.86,71.7,6758.47556
8690.12,90.86,71.7,6757.122925
8700,90.81,71.89,6756.978944
8717.9,90.73,72.24,6756.738392
8800,90.73,72.24,6755.692392
8900,90.73,72.24,6754.418337
9000,90.73,72.24,6753.144281
9100,90.73,72.24,6751.870225
9200,90.73,72.24,6750.596169
9300,90.73,72.24,6749.322113
9400,90.73,72.24,6748.048057
9500,90.73,72.24,6746.774001
9600,90.73,72.24,6745.499945
9700,90.73,72.24,6744.225889
9800,90.73,72.24,6742.951834
9865.36,90.73,72.24,6742.119111
9900,90.46,72.88,6741.759391
9935.46,90.18,73.53,6741.561346
10000,90.18,73.53,6741.358588
10100,90.18,73.53,6741.044429
10200,90.18,73.53,6740.73027
10300,90.18,73.53,6740.416112
10400,90.18,73.53,6740.101953
10500,90.18,73.53,6739.787794
10600,90.18,73.53,6739.473635
10700,90.18,73.53,6739.159477
10800,90.18,73.53,6738.845318
10900,90.18,73.53,6738.531159
11000,90.18,73.53,6738.217
11100,90.18,73.53,6737.902842
11129.76,90.18,73.53,6737.809348
